"to","from","UMAP1.from","UMAP2.from","module.from","kME.from","hub.from","UMAP1.to","UMAP2.to","module.to","kME.to","hub.to"
"AceA","ArgF",-4.89595552031681,-3.24546308293192,"blue",0.623989611569758,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YfcH",5.53475908692196,-2.15715391411631,"green",0.0642347376145585,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","SdhD",1.69263534005001,-0.173608074329777,"yellow",0.258906436236806,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","CstA",-0.567976909324381,-4.73357648625223,"turquoise",0.22087886015433,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","RocR",5.27088455612972,-2.35933298840372,"green",0.21101325731848,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","DdpA",-3.42927380149052,-4.44145102276651,"blue",0.317795289986773,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YhhI",-4.66595383231327,-2.49851710572092,"blue",0.0525891357024918,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","Nnr1",-4.38039370124027,2.54838638529928,"brown",0.0707377255854167,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YukC",6.15190987046078,2.05285434947165,"turquoise",0.12403475307424,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PyrB",-0.817480434298369,3.52279119715841,"red",0.00583816321390075,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PMT1",-8.48712153975651,0.748233129836636,"brown",0.414996811643918,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG3177",-1.30914925281689,-4.30378122105448,"blue",0.020558614552534,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","CelA1",-2.26155562941715,-3.95000929608194,"blue",0.00164457977799052,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FolD",-4.57441659514591,2.53295235858114,"brown",0.0922799853436812,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","ParE",-0.860378023803088,-2.82980079426615,"blue",0.0266234604594041,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PAAR",5.65287784989193,-4.07979721798746,"green",0.364371274818313,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","LysS",-4.29736800734684,-3.26874322666971,"blue",0.143131122541176,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","CheB",-0.412830459520075,-1.29362005963175,"yellow",0.0716510924249733,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","GlpC",5.72287563736751,3.38898496852072,"turquoise",0.146203305863602,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","Gsp",1.32896594460323,-0.408189604423923,"yellow",0.113200718272966,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","RlmH",0.286816639259604,1.53516655192526,"yellow",0.0107514687987663,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YcjU",-2.40693731848881,-3.82128805889933,"blue",0.0861382065912703,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG4564",1.37309603150204,-1.40110362543909,"yellow",0.568435660958169,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PncA",-6.0164675289838,-0.783759871862812,"blue",0.127714719916531,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","RplJ",-0.199837701961252,2.13334875331076,"red",0.667829005170685,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG3520",5.34841350968197,2.80884056315573,"turquoise",0.0247292057668982,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FixA",-5.49254031722233,-2.31886465325205,"blue",0.420594604597533,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
